|carpeta|codigo|nivel|propuesta|archivos|resol
244|048- MAE Analisis Politico|P00048|MAE|Analisis Politico|02- SES 378-13 - Dictamen CONEAU.pdf|SES 378-13
245|048- MAE Analisis Politico|P00048|MAE|Analisis Politico|03- RME 562-15 - Ministerial.pdf|RME 562-15
246|049- ESP Analisis Politico|P00049|ESP|Analisis Politico|01- RCS 007-09 - Creac Plan.pdf|RCS 007-09
247|049- ESP Analisis Politico|P00049|ESP|Analisis Politico|Thumbs.db|bs.db
248|053- ESP Gestion de la Tecnologia y la Innovacion|P00053|ESP|Gestion de la Tecnologia y la Innovacion|01- RCS 034-09 - Creacion.pdf|RCS 034-09
249|053- ESP Gestion de la Tecnologia y la Innovacion|P00053|ESP|Gestion de la Tecnologia y la Innovacion|02- RES 350-15 - CONEAU.pdf|RES 350-15
250|053- ESP Gestion de la Tecnologia y la Innovacion|P00053|ESP|Gestion de la Tecnologia y la Innovacion|02- RES 921-09 - CONEAU Esp Gestion Tecn Innov.pdf|RES 921-09
251|053- ESP Gestion de la Tecnologia y la Innovacion|P00053|ESP|Gestion de la Tecnologia y la Innovacion|03- RME 510-17 - Esp Gestion Tecn Innov.pdf|RME 510-17
252|053- ESP Gestion de la Tecnologia y la Innovacion|P00053|ESP|Gestion de la Tecnologia y la Innovacion|Thumbs.db|bs.db
253|054- ESP Economia Social|P00054|ESP|Economia Social|01- RCS 005-06 - Creac Plan.pdf|RCS 005-06
254|054- ESP Economia Social|P00054|ESP|Economia Social|02- SES 268-08 - CONEAU.pdf|SES 268-08
255|054- ESP Economia Social|P00054|ESP|Economia Social|03- RME 1719-08 - MINISTERIO.pdf|RME 1719-08
256|054- ESP Economia Social|P00054|ESP|Economia Social|Thumbs.db|bs.db
257|056- ESP Politicas Agroalimentarias|P00056|ESP|Politicas Agroalimentarias|01- RCS 003-14 - UNTREF Modif. Plan.pdf|RCS 003-14
258|056- ESP Politicas Agroalimentarias|P00056|ESP|Politicas Agroalimentarias|01- RCS 025-11 - UNTREF Creacion - Regl - Plan.pdf|RCS 025-11
259|056- ESP Politicas Agroalimentarias|P00056|ESP|Politicas Agroalimentarias|02- IF 2020-26785066 - ESP AGRO - APN-DAC-CONEAU - Anexo.pdf|IF 2020-26785066
260|056- ESP Politicas Agroalimentarias|P00056|ESP|Politicas Agroalimentarias|02- RES 391-13 - CONEAU - pol agroalimentarias.pdf|RES 391-13
261|056- ESP Politicas Agroalimentarias|P00056|ESP|Politicas Agroalimentarias|02- RS 2020-29219094 - ESP AGRO APN-CONEAU-ME.pdf|RS 2020-29219094
262|056- ESP Politicas Agroalimentarias|P00056|ESP|Politicas Agroalimentarias|03- RM 1197-15 - MINISTERIO.pdf|RM 1197-15
263|056- ESP Politicas Agroalimentarias|P00056|ESP|Politicas Agroalimentarias|Thumbs.db|bs.db
264|057- ESP Gestion de Lenguas|P00057|ESP|Gestion de Lenguas|01- RCS 004-11 - Creacion.pdf|RCS 004-11
265|057- ESP Gestion de Lenguas|P00057|ESP|Gestion de Lenguas|02- RES 315-17 - RS-2017-17357692-APN-CONEAU-ME.pdf|RES 315-17
266|057- ESP Gestion de Lenguas|P00057|ESP|Gestion de Lenguas|02- SES 358-12 - CONEAU.pdf|SES 358-12
267|057- ESP Gestion de Lenguas|P00057|ESP|Gestion de Lenguas|03- RME 2067-14 - ESP Gestion de lenguas.pdf|RME 2067-14
268|057- ESP Gestion de Lenguas|P00057|ESP|Gestion de Lenguas|Thumbs.db|bs.db
269|058- MAE Derechos Humanos Estado y Sociedad|P00058|MAE|Derechos Humanos Estado y Sociedad|01- RCS 007-12 - Creacion Plan Regla DDHH.pdf|RCS 007-12
270|058- MAE Derechos Humanos Estado y Sociedad|P00058|MAE|Derechos Humanos Estado y Sociedad|02- SES 378-13 - Dictamen CONEAU.pdf|SES 378-13
271|058- MAE Derechos Humanos Estado y Sociedad|P00058|MAE|Derechos Humanos Estado y Sociedad|03- RME 1440-15 - DDHH.pdf|RME 1440-15
272|058- MAE Derechos Humanos Estado y Sociedad|P00058|MAE|Derechos Humanos Estado y Sociedad|Thumbs.db|bs.db
273|059- ESP Tributacion Local|P00059|ESP|Tributacion Local|01- RCS 004-12 - Creacion.pdf|RCS 004-12
274|059- ESP Tributacion Local|P00059|ESP|Tributacion Local|01- RCS 007-14 - Modif Plan.pdf|RCS 007-14
275|059- ESP Tributacion Local|P00059|ESP|Tributacion Local|02- RES 05-16 - RESFC-2016-5.pdf|RES 05-16
276|059- ESP Tributacion Local|P00059|ESP|Tributacion Local|02- SES 375-13 - Dictamen desfavorable CONEAU.pdf|SES 375-13
277|059- ESP Tributacion Local|P00059|ESP|Tributacion Local|03- RME 4219-17 - Ministerial.pdf|RME 4219-17
278|059- ESP Tributacion Local|P00059|ESP|Tributacion Local|03- RME 564-15 - Ministerial.pdf|RME 564-15
279|059- ESP Tributacion Local|P00059|ESP|Tributacion Local|Thumbs.db|bs.db
280|060- MAE Estudios Literarios Latinoamericanos|P00060|MAE|Estudios Literarios Latinoamericanos|01- RCS 016-17 - modif. plan y regla.pdf|RCS 016-17
281|060- MAE Estudios Literarios Latinoamericanos|P00060|MAE|Estudios Literarios Latinoamericanos|01- RCS 037-11 - Creacion Plan Regla.pdf|RCS 037-11
282|060- MAE Estudios Literarios Latinoamericanos|P00060|MAE|Estudios Literarios Latinoamericanos|02- RES 024-18 - 13257795-APN-CONEAU-ME.pdf|RES 024-18
283|060- MAE Estudios Literarios Latinoamericanos|P00060|MAE|Estudios Literarios Latinoamericanos|02- SES 368-12 - Dictamen CONEAU.pdf|SES 368-12
284|060- MAE Estudios Literarios Latinoamericanos|P00060|MAE|Estudios Literarios Latinoamericanos|03- RME 1247-15 - Estudios Literarios.pdf|RME 1247-15
285|060- MAE Estudios Literarios Latinoamericanos|P00060|MAE|Estudios Literarios Latinoamericanos|Thumbs.db|bs.db
286|061- ESP Gestion de Empresas de Agua y Saneamiento|P00061|ESP|Gestion de Empresas de Agua y Saneamiento|01- RCS 015-12 - Creac Regla Plan - ESP AYSA.pdf|RCS 015-12
287|061- ESP Gestion de Empresas de Agua y Saneamiento|P00061|ESP|Gestion de Empresas de Agua y Saneamiento|Thumbs.db|bs.db
288|062- MAE Escritura Creativa|P00062|MAE|Escritura Creativa|01- RCS 005-13 - Crea y Regla - MAE Escritura Creativa.pdf|RCS 005-13
289|062- MAE Escritura Creativa|P00062|MAE|Escritura Creativa|01- RCS 015-18 - Modif. de Plan.pdf|RCS 015-18
290|062- MAE Escritura Creativa|P00062|MAE|Escritura Creativa|02- RES 270-17 - 15630116-APN-CONEAU-ME.pdf|RES 270-17
291|062- MAE Escritura Creativa|P00062|MAE|Escritura Creativa|02- SES 408-14 - 11380_13 D.pdf|SES 408-14
292|062- MAE Escritura Creativa|P00062|MAE|Escritura Creativa|03- RME 1471-16 - MAG EN ESCRITURA CREATIVA.pdf|RME 1471-16
293|062- MAE Escritura Creativa|P00062|MAE|Escritura Creativa|Thumbs.db|bs.db
294|063- MAE Gestion y Evaluacion de la Educacion|P00063|MAE|Gestion y Evaluacion de la Educacion|01- RCS 027-13 - Adhesion a PAE.pdf|RCS 027-13
295|063- MAE Gestion y Evaluacion de la Educacion|P00063|MAE|Gestion y Evaluacion de la Educacion|01- RCS 035-12 - Creacion.pdf|RCS 035-12
296|063- MAE Gestion y Evaluacion de la Educacion|P00063|MAE|Gestion y Evaluacion de la Educacion|02- SES 387-13 - MAE Profesional.pdf|SES 387-13
297|063- MAE Gestion y Evaluacion de la Educacion|P00063|MAE|Gestion y Evaluacion de la Educacion|03- RME 2422-15 - Ministerial.pdf|RME 2422-15
298|064- MAE Abogacia del Estado|P00064|MAE|Abogacia del Estado|01- RCS 036-13 - Creacion.pdf|RCS 036-13
299|064- MAE Abogacia del Estado|P00064|MAE|Abogacia del Estado|02- SES 408-14 - 11380_13 D.pdf|SES 408-14
300|064- MAE Abogacia del Estado|P00064|MAE|Abogacia del Estado|03- RME 2811-15 - Ministerial.pdf|RME 2811-15
301|064- MAE Abogacia del Estado|P00064|MAE|Abogacia del Estado|Thumbs.db|bs.db
302|065- DOC Politica y Gestion de la Educacion Superior|P00065|DOC|Politica y Gestion de la Educacion Superior|01- RCS 004-13 - Plan Modif.pdf|RCS 004-13
303|065- DOC Politica y Gestion de la Educacion Superior|P00065|DOC|Politica y Gestion de la Educacion Superior|01- RCS 006-12 - Creacion - UNTREF.pdf|RCS 006-12
304|065- DOC Politica y Gestion de la Educacion Superior|P00065|DOC|Politica y Gestion de la Educacion Superior|01- RCS 013-18 - Modif. de Plan.pdf|RCS 013-18
305|065- DOC Politica y Gestion de la Educacion Superior|P00065|DOC|Politica y Gestion de la Educacion Superior|02- SES 379-13 - CONEAU.pdf|SES 379-13
306|065- DOC Politica y Gestion de la Educacion Superior|P00065|DOC|Politica y Gestion de la Educacion Superior|03- RM 1520-15 - MINISTERIO.pdf|RM 1520-15
307|065- DOC Politica y Gestion de la Educacion Superior|P00065|DOC|Politica y Gestion de la Educacion Superior|Thumbs.db|bs.db
308|066- MAE Politicas y Gestion de las Migraciones Internacionales|P00066|MAE|Politicas y Gestion de las Migraciones Internacionales|01- RCS 041-11 - Plan y Reglamento.pdf|RCS 041-11
309|066- MAE Politicas y Gestion de las Migraciones Internacionales|P00066|MAE|Politicas y Gestion de las Migraciones Internacionales|02- SES 391-13 - CONEAU.pdf|SES 391-13
310|066- MAE Politicas y Gestion de las Migraciones Internacionales|P00066|MAE|Politicas y Gestion de las Migraciones Internacionales|03- RME 2363-15 - Ministerial.pdf|RME 2363-15
311|066- MAE Politicas y Gestion de las Migraciones Internacionales|P00066|MAE|Politicas y Gestion de las Migraciones Internacionales|Thumbs.db|bs.db
312|067- ESP Docencia Universitaria|P00067|ESP|Docencia Universitaria|01- RCS 045-13 - UNTREF Creación - Plan.pdf|RCS 045-13
313|067- ESP Docencia Universitaria|P00067|ESP|Docencia Universitaria|02- SES 415-15 - CONEAU.pdf|SES 415-15
314|067- ESP Docencia Universitaria|P00067|ESP|Docencia Universitaria|03- RM 2018-16 - MINISTERIO.pdf|RM 2018-16
315|067- ESP Docencia Universitaria|P00067|ESP|Docencia Universitaria|Thumbs.db|bs.db
316|068- DOC Teoria Comparada de las Artes|P00068|DOC|Teoria Comparada de las Artes|01- RCS 010-13 - UNTREF.pdf|RCS 010-13
317|068- DOC Teoria Comparada de las Artes|P00068|DOC|Teoria Comparada de las Artes|02- SES 401-14 - CONEAU.pdf|SES 401-14
318|068- DOC Teoria Comparada de las Artes|P00068|DOC|Teoria Comparada de las Artes|03- RME 2804-15 - MINISTERIO.pdf|RME 2804-15
319|068- DOC Teoria Comparada de las Artes|P00068|DOC|Teoria Comparada de las Artes|Thumbs.db|bs.db
320|069- MAE Sociologia Politica Internacional|P00069|MAE|Sociologia Politica Internacional|01- RCS 042-11 - Creac Plan.pdf|RCS 042-11
321|069- MAE Sociologia Politica Internacional|P00069|MAE|Sociologia Politica Internacional|02- SES 413-14 - CONEAU.pdf|SES 413-14
322|069- MAE Sociologia Politica Internacional|P00069|MAE|Sociologia Politica Internacional|03- RME 904-17 - Mg Sociologia Politica Internacional.pdf|RME 904-17
323|070- MAE Ensenanza de Historia|P00070|MAE|Ensenanza de Historia|01- RCS 008-14 - Creacion Plan Regla Historia.pdf|RCS 008-14
324|070- MAE Ensenanza de Historia|P00070|MAE|Ensenanza de Historia|02- SES 413-14 - CONEAU.pdf|SES 413-14
325|070- MAE Ensenanza de Historia|P00070|MAE|Ensenanza de Historia|03- RM 2093-16 - MAG Ensenanza de la historia.pdf|RM 2093-16
326|070- MAE Ensenanza de Historia|P00070|MAE|Ensenanza de Historia|Thumbs.db|bs.db
327|071- ESP Industrias Culturales en la Convergencia Digital|P00071|ESP|Industrias Culturales en la Convergencia Digital|01- RCS 012-15 - Creac Plan Reglamento Industrias Culturales.pdf|RCS 012-15
328|071- ESP Industrias Culturales en la Convergencia Digital|P00071|ESP|Industrias Culturales en la Convergencia Digital|01- RCS 018-18 - Modif. Plan de Estudios.pdf|RCS 018-18
329|071- ESP Industrias Culturales en la Convergencia Digital|P00071|ESP|Industrias Culturales en la Convergencia Digital|02- SES 428-15 - Respuesta CONEAU - Carrera nueva 11.827-15.pdf|SES 428-15
330|071- ESP Industrias Culturales en la Convergencia Digital|P00071|ESP|Industrias Culturales en la Convergencia Digital|03- RM 1613-17 - ESPECIALISTA EN INDUSTRIAS CULTURALES.pdf|RM 1613-17
331|071- ESP Industrias Culturales en la Convergencia Digital|P00071|ESP|Industrias Culturales en la Convergencia Digital|Thumbs.db|bs.db
332|072- ESP Diseño Conceptual|P00072|ESP|Diseño Conceptual|01- RCS 013-15 - Creac Plan Regla - ESP DIS CONCEPTUAL.pdf|RCS 013-15
333|072- ESP Diseño Conceptual|P00072|ESP|Diseño Conceptual|02- SES 445-15 - CONEAU.pdf|SES 445-15
334|072- ESP Diseño Conceptual|P00072|ESP|Diseño Conceptual|03- RME 833-18 - ESP EN DISENO CONCEPTUAL.pdf|RME 833-18
335|072- ESP Diseño Conceptual|P00072|ESP|Diseño Conceptual|Thumbs.db|bs.db
336|073- DOC Derecho del Trabajo|P00073|DOC|Derecho del Trabajo|01- RCS 014-15 - Creac-Reglamento-Plan.pdf|RCS 014-15
337|073- DOC Derecho del Trabajo|P00073|DOC|Derecho del Trabajo|02- SES 438-16 CONEAU.pdf|SES 438-16 CONEAU.pdf
338|073- DOC Derecho del Trabajo|P00073|DOC|Derecho del Trabajo|03- RME 4128-17 - Ministerial.pdf|RME 4128-17
339|073- DOC Derecho del Trabajo|P00073|DOC|Derecho del Trabajo|Thumbs.db|bs.db
340|074- MAE Estudios y Politicas de Genero|P00074|MAE|Estudios y Politicas de Genero|01- RCS 007-16 - Creacion.pdf|RCS 007-16
341|074- MAE Estudios y Politicas de Genero|P00074|MAE|Estudios y Politicas de Genero|02- SES 465-17 - IF-2017-16806819-APN-CONEAU-ME.pdf|SES 465-17
342|075- ESP Estudios y Politicas de Genero|P00075|ESP|Estudios y Politicas de Genero|01- RCS 006-16 - Creacion.pdf|RCS 006-16
343|075- ESP Estudios y Politicas de Genero|P00075|ESP|Estudios y Politicas de Genero|02- SES 465-17 - IF-2017-16806819-APN-CONEAU-ME.pdf|SES 465-17
344|075- ESP Estudios y Politicas de Genero|P00075|ESP|Estudios y Politicas de Genero|Thumbs.db|bs.db
345|076- MAE Gestion de Lenguas|P00076|MAE|Gestion de Lenguas|01- RCS 004-14 - Creac Plan Regla - MAE GESTION DE LENGUAS.pdf|RCS 004-14
346|076- MAE Gestion de Lenguas|P00076|MAE|Gestion de Lenguas|02- SES 424-15 - CONEAU - MAE GESTION DE LENGUAS.pdf|SES 424-15
347|076- MAE Gestion de Lenguas|P00076|MAE|Gestion de Lenguas|03- RME 1401-16 - MAE GESTION DE LENGUAS.pdf|RME 1401-16
348|076- MAE Gestion de Lenguas|P00076|MAE|Gestion de Lenguas|Thumbs.db|bs.db
349|079- MAE Cruces de Narrativas Culturales|P00079|MAE|Cruces de Narrativas Culturales|01- RCS 027-18 - Ratificar RR 333-18 - MAE CRUCES.pdf|RCS 027-18
350|079- MAE Cruces de Narrativas Culturales|P00079|MAE|Cruces de Narrativas Culturales|01- RR 333-18 - aprobacion de plan - MAE CRUCES.pdf|RR 333-18
351|079- MAE Cruces de Narrativas Culturales|P00079|MAE|Cruces de Narrativas Culturales|02- SES 495-18 - Recomendacion Favorable - MAE CRUCES.pdf|SES 495-18
352|079- MAE Cruces de Narrativas Culturales|P00079|MAE|Cruces de Narrativas Culturales|Thumbs.db|bs.db
353|080- MAE Criminologia y Seguridad Ciudadana|P00080|MAE|Criminologia y Seguridad Ciudadana|01- RCS 006-17 - Creac plan regla - MAE CRIMINOLOGIA.pdf|RCS 006-17
354|080- MAE Criminologia y Seguridad Ciudadana|P00080|MAE|Criminologia y Seguridad Ciudadana|01- RCS 016-18 - Modif. Regla.pdf|RCS 016-18
355|080- MAE Criminologia y Seguridad Ciudadana|P00080|MAE|Criminologia y Seguridad Ciudadana|01- RCS 1258-17 - Direc Coord Com Acad.pdf|RCS 1258-17
356|080- MAE Criminologia y Seguridad Ciudadana|P00080|MAE|Criminologia y Seguridad Ciudadana|02- CONEAU 27154658-2017 - Comité de Pares.pdf|CONEAU 27154658-2017
357|080- MAE Criminologia y Seguridad Ciudadana|P00080|MAE|Criminologia y Seguridad Ciudadana|02- CONEAU 31958432-2017 - Presentacion.pdf|CONEAU 31958432-2017
358|080- MAE Criminologia y Seguridad Ciudadana|P00080|MAE|Criminologia y Seguridad Ciudadana|Thumbs.db|bs.db
359|081- ESP Arte Sonoro|P00081|ESP|Arte Sonoro|01- RCS 019-18 - Creac. Plan Regla. Arte Sonoro.pdf|RCS 019-18
360|081- ESP Arte Sonoro|P00081|ESP|Arte Sonoro|01- RCS 048-19 - Modif Plan y Regla.pdf|RCS 048-19
361|081- ESP Arte Sonoro|P00081|ESP|Arte Sonoro|02- IF 2020-28490343 - ARTE SONORO - APN-CONEAU-ME.pdf|IF 2020-28490343
362|082- ESP Enfermeria en la Atencion del Paciente Critico Neonatal|P00082|ESP|Enfermeria en la Atencion del Paciente Critico Neonatal|01- RSC 014-16 - Creac Plan Regla - ESP ENFERMERIA PACIENTE NEONATAL.pdf|RSC 014-16
363|082- ESP Enfermeria en la Atencion del Paciente Critico Neonatal|P00082|ESP|Enfermeria en la Atencion del Paciente Critico Neonatal|02- SES 478-18 - IF-2018-12967699-APN-CONEAU-ME.pdf|SES 478-18
364|082- ESP Enfermeria en la Atencion del Paciente Critico Neonatal|P00082|ESP|Enfermeria en la Atencion del Paciente Critico Neonatal|Thumbs.db|bs.db
365|083- ESP Enfermeria en la Atencion del Paciente Critico Pediatrico|P00083|ESP|Enfermeria en la Atencion del Paciente Critico Pediatrico|01- RCS 013-16 - Creac Plan Regla - ESP ENFERMERIA PACIENTE PEDIATRICO.pdf|RCS 013-16
366|083- ESP Enfermeria en la Atencion del Paciente Critico Pediatrico|P00083|ESP|Enfermeria en la Atencion del Paciente Critico Pediatrico|02- SES 478-18 - IF-2018-12967699-APN-CONEAU-ME.pdf|SES 478-18
367|083- ESP Enfermeria en la Atencion del Paciente Critico Pediatrico|P00083|ESP|Enfermeria en la Atencion del Paciente Critico Pediatrico|Thumbs.db|bs.db
368|084- ESP Enfermeria en la Atencion del Paciente Critico Adulto|P00084|ESP|Enfermeria en la Atencion del Paciente Critico Adulto|01- RCS 012-16 - Creacion Plan Reglamento - ESP ENFERMERIA PACIENTE ADULTO.pdf|RCS 012-16
369|084- ESP Enfermeria en la Atencion del Paciente Critico Adulto|P00084|ESP|Enfermeria en la Atencion del Paciente Critico Adulto|02- SES 478-18 - IF-2018-12967699-APN-CONEAU-ME.pdf|SES 478-18
370|084- ESP Enfermeria en la Atencion del Paciente Critico Adulto|P00084|ESP|Enfermeria en la Atencion del Paciente Critico Adulto|Thumbs.db|bs.db
371|085- ESP Direccion y Gestion de Proyectos|P00085|ESP|Direccion y Gestion de Proyectos|01- RCS 002-18 - Creac Plan Regla - ESP DIRECCION GESTION PROYECTOS.pdf|RCS 002-18
372|085- ESP Direccion y Gestion de Proyectos|P00085|ESP|Direccion y Gestion de Proyectos|02- SES 511-19 - Esp Gestion de Proyectos.pdf|SES 511-19
373|085- ESP Direccion y Gestion de Proyectos|P00085|ESP|Direccion y Gestion de Proyectos|Thumbs.db|bs.db
374|086- ESP Genetica Derechos Humanos y Sociedad|P00086|ESP|Genetica Derechos Humanos y Sociedad|01- RCS 003-18 - Creacion.pdf|RCS 003-18
375|086- ESP Genetica Derechos Humanos y Sociedad|P00086|ESP|Genetica Derechos Humanos y Sociedad|02- SES 499-19 - ESP GENETICA.pdf|SES 499-19
376|086- ESP Genetica Derechos Humanos y Sociedad|P00086|ESP|Genetica Derechos Humanos y Sociedad|Thumbs.db|bs.db
377|087- ESP Gestion de Politicas para la Infancia y Adolescencia|P00087|ESP|Gestion de Politicas para la Infancia y Adolescencia|01- RCS 004-18 - Creac Plan Regla - ESP INFANCIA Y ADOL.pdf|RCS 004-18
378|087- ESP Gestion de Politicas para la Infancia y Adolescencia|P00087|ESP|Gestion de Politicas para la Infancia y Adolescencia|Thumbs.db|bs.db
379|088- ESP Evaluacion Educativa|P00088|ESP|Evaluacion Educativa|01- RCS 008-19 - Creac Plan - ESP EVAL EDUCATIVA.pdf|RCS 008-19
380|088- ESP Evaluacion Educativa|P00088|ESP|Evaluacion Educativa|02- SES 512-19 - ESP en Evaluacion Educativa.pdf|SES 512-19
381|088- ESP Evaluacion Educativa|P00088|ESP|Evaluacion Educativa|Thumbs.db|bs.db
382|089- MAE Economia y Negocios con Asia del Pacifico e India|P00089|MAE|Economia y Negocios con Asia del Pacifico e India|01- RCS 003-17 - Creac Plan Maes Economia y Negocios.pdf|RCS 003-17
383|089- MAE Economia y Negocios con Asia del Pacifico e India|P00089|MAE|Economia y Negocios con Asia del Pacifico e India|01- RCS 009-19 - Modif. Plan y Regla. - MAE ASIA PACIFICO.pdf|RCS 009-19
384|089- MAE Economia y Negocios con Asia del Pacifico e India|P00089|MAE|Economia y Negocios con Asia del Pacifico e India|02- SES 507-19 - IF-2019-65228938-APN-CONEAU-MECCYT.pdf|SES 507-19
385|090- DOC Artes Tecnoesteticas|P00090|DOC|Artes Tecnoesteticas|01- RCS 007-19 - Creac Plan Regla - DOC ARTES Y TECNOEST.pdf|RCS 007-19
386|090- DOC Artes Tecnoesteticas|P00090|DOC|Artes Tecnoesteticas|Thumbs.db|bs.db
387|091- ESP Análisis Institucional Organizaciones Programas y Practicas Educativas|P00091|ESP|Análisis Institucional Organizaciones Programas y Practicas Educativas|01- RCS 024-18 - Esp. en Analisis Institucional Modif Plan.pdf|RCS 024-18
388|091- ESP Análisis Institucional Organizaciones Programas y Practicas Educativas|P00091|ESP|Análisis Institucional Organizaciones Programas y Practicas Educativas|01- RCS 042-16 - Esp. en AI - Creacion.pdf|RCS 042-16
389|091- ESP Análisis Institucional Organizaciones Programas y Practicas Educativas|P00091|ESP|Análisis Institucional Organizaciones Programas y Practicas Educativas|02- SES 493-18 - EAIOPPE.pdf|SES 493-18
390|091- ESP Análisis Institucional Organizaciones Programas y Practicas Educativas|P00091|ESP|Análisis Institucional Organizaciones Programas y Practicas Educativas|Thumbs.db|bs.db
391|092- ESP Infancia Temprana y Practica Institucionales|P00092|ESP|Infancia Temprana y Practica Institucionales|01- RCS 017-12 - Creac Plan.pdf|RCS 017-12
392|092- ESP Infancia Temprana y Practica Institucionales|P00092|ESP|Infancia Temprana y Practica Institucionales|02- SES 444-16 - 11822_15 D CONEAU.pdf|SES 444-16
393|092- ESP Infancia Temprana y Practica Institucionales|P00092|ESP|Infancia Temprana y Practica Institucionales|03- RME 3628-17 - ROyVN del título.pdf|RME 3628-17
394|092- ESP Infancia Temprana y Practica Institucionales|P00092|ESP|Infancia Temprana y Practica Institucionales|Thumbs.db|bs.db
395|093- DOC Diversidad Cultural|P00093|DOC|Diversidad Cultural|01- RCS 005-18 - UNTREF.pdf|RCS 005-18
396|093- DOC Diversidad Cultural|P00093|DOC|Diversidad Cultural|02- SES 502-19 - Dictamen Doctorado en DC.pdf|SES 502-19
397|093- DOC Diversidad Cultural|P00093|DOC|Diversidad Cultural|Thumbs.db|bs.db
398|094- MAE Teoria Social e Investigacion Empirica|P00094|MAE|Teoria Social e Investigacion Empirica|01- RCS 023-18 - Modif Plan - MAE Teoria Social e Investigacion Empirica.pdf|RCS 023-18
399|094- MAE Teoria Social e Investigacion Empirica|P00094|MAE|Teoria Social e Investigacion Empirica|01- RCS 045-15 - Creacion Regla Plan.pdf|RCS 045-15
400|094- MAE Teoria Social e Investigacion Empirica|P00094|MAE|Teoria Social e Investigacion Empirica|02- RES 351-17- MAE Teoria Social e Investigacion.pdf|RES 351-17- MAE Teoria Social e Investigacion.pdf
401|094- MAE Teoria Social e Investigacion Empirica|P00094|MAE|Teoria Social e Investigacion Empirica|02- SES 497-18 - MAE TEO SOCIAL EMPIRICA.pdf|SES 497-18
402|095- DOC Teoria Social e Investigacion Empirica|P00095|DOC|Teoria Social e Investigacion Empirica|01- RCS 008-16 - Creacion - DOC TSIE.pdf|RCS 008-16
403|095- DOC Teoria Social e Investigacion Empirica|P00095|DOC|Teoria Social e Investigacion Empirica|01- RCS 022-18 - Modif Plan - DOC TSIE.pdf|RCS 022-18
404|095- DOC Teoria Social e Investigacion Empirica|P00095|DOC|Teoria Social e Investigacion Empirica|02- RES 354-17 - DR Teoria Social e Investigacion.pdf|RES 354-17
405|095- DOC Teoria Social e Investigacion Empirica|P00095|DOC|Teoria Social e Investigacion Empirica|02- SES 497-18 - MAE TEO SOCIAL EMPIRICA.pdf|SES 497-18
406|095- DOC Teoria Social e Investigacion Empirica|P00095|DOC|Teoria Social e Investigacion Empirica|Thumbs.db|bs.db
407|096- MAE Gestion de Politicas para la Infancia y la Adolescencia|P00096|MAE|Gestion de Politicas para la Infancia y la Adolescencia|01- RCS 017-17 - Creac, Plan, Regla.pdf|RCS 017-17
408|097- ESP Educacion y Promocion de la Salud|P00097|ESP|Educacion y Promocion de la Salud|01- RCS 018-17 - Creac y Plan - ESP ED PROMOCION SALUD.pdf|RCS 018-17
409|097- ESP Educacion y Promocion de la Salud|P00097|ESP|Educacion y Promocion de la Salud|02- SES 491-18 - Educacion y Promocion de la Salud.pdf|SES 491-18
410|097- ESP Educacion y Promocion de la Salud|P00097|ESP|Educacion y Promocion de la Salud|Thumbs.db|bs.db
411|098- MAE Gestion del Deporte|P00098|MAE|Gestion del Deporte|01- RCS 021-18 - Creac Plan Regla - MAE GESTION DEPORTE.pdf|RCS 021-18
412|098- MAE Gestion del Deporte|P00098|MAE|Gestion del Deporte|01- RCS 026-19 - Modif Plan MAE Medicina Deporte.pdf|RCS 026-19
413|098- MAE Gestion del Deporte|P00098|MAE|Gestion del Deporte|02- IF-2019-109611135 - Maestria en Gestion del Deporte.pdf|IF-2019-109611135
414|098- MAE Gestion del Deporte|P00098|MAE|Gestion del Deporte|Thumbs.db|bs.db
415|102- DIP Economia Social y Clubes|P00102|DIP|Economia Social y Clubes|01- RCS 3792-19 - DIPLO Economia Social y Clubes - MP & MD.pdf|RCS 3792-19
416|103- DIP Superior en Industrias Culturales en la Convergencia Digital|P00103|DIP|Superior en Industrias Culturales en la Convergencia Digital|01- RCS 2555-19 - DIP Industrias Culturales en la Convergencia Digital.pdf|RCS 2555-19
417|103- DIP Superior en Industrias Culturales en la Convergencia Digital|P00103|DIP|Superior en Industrias Culturales en la Convergencia Digital|Thumbs.db|bs.db
418|108- DIP Superior en Estadisticas e Indicadores Educativos|P00108|DIP|Superior en Estadisticas e Indicadores Educativos|01- RCS 2553-19 - DIP Superior Estadísticas e Indicadores Educativos.pdf|RCS 2553-19
419|108- DIP Superior en Estadisticas e Indicadores Educativos|P00108|DIP|Superior en Estadisticas e Indicadores Educativos|Thumbs.db|bs.db
420|115- DOC Estudios y Politicas de Genero|P00115|DOC|Estudios y Politicas de Genero|01- RCS 050-19 - Creacion DOC estudios y politicas de genero.pdf|RCS 050-19
421|115- DOC Estudios y Politicas de Genero|P00115|DOC|Estudios y Politicas de Genero|01- RCS 059-19 - Regla DOC estudios y politicas de genero.pdf|RCS 059-19
422|116- DIP Superior en Criminologia y Seguridad Ciudadana|P00116|DIP|Superior en Criminologia y Seguridad Ciudadana|01- RR 1515-20 - DIP Superior en Criminologia y Seguridad Ciudadana.pdf|RR 1515-20
